date,year,eventLabel,typeLabel,category,impact,source,event_id
2018-01-01,2018,Dívida soberana de China,Crise Econômica,Crise Econômica,Médio,Synthetic_Historical_Dataset,1
1986-01-01,1986,Conflito armado na Oceania,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,2
2020-01-01,2020,Teoria revolucionária em Astronomia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,3
2000-01-01,2000,Descoberta sobre Alzheimer,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,4
2008-01-01,2008,Furacão Evento_4 atinge Oceania,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,5
2018-01-01,2018,Crise de saúde global,Avanço Médico/Saúde,Avanço Médico/Saúde,Baixo,Synthetic_Historical_Dataset,6
2020-01-01,2020,Erupção vulcânica em Vulcão_X,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,7
1980-01-01,1980,Tratado internacional assinado,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,8
1991-01-01,1991,Crise internacional envolvendo Austrália e Índia,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,9
1986-01-01,1986,Eleições presidenciais em Argentina,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,10
2013-01-01,2013,Vacina desenvolvida para HIV/AIDS,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,11
2014-01-01,2014,Programa de saúde pública em Japão,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,12
2017-01-01,2017,Vacina desenvolvida para Cardiovasculares,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,13
2015-01-01,2015,Batalha de Nova York (2015),Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,14
2020-01-01,2020,Descoberta científica em Matemática,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,15
2020-01-01,2020,Seca prolongada em Oceania,Desastre Natural,Desastre Natural,Baixo,Synthetic_Historical_Dataset,16
2022-01-01,2022,Crise cambial em Europa,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,17
2017-01-01,2017,Acordo de paz em Oriente Médio,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,18
1947-01-01,1947,Independência de China,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,19
2000-01-01,2000,Invasão de Brasil,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,20
2022-01-01,2022,Descoberta sobre Cardiovasculares,Avanço Médico/Saúde,Avanço Médico/Saúde,Baixo,Synthetic_Historical_Dataset,21
2019-01-01,2019,Missão espacial para Marte,Avanço Espacial/Astronômico,Avanço Espacial/Astronômico,Alto,Synthetic_Historical_Dataset,22
2011-01-01,2011,Inflação alta em Sudeste Asiático,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,23
2010-01-01,2010,Descoberta de Elemento_Z,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,24
2023-01-01,2023,Descoberta científica em Geologia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,25
1967-01-01,1967,Lançamento de Realidade Virtual,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,26
1905-01-01,1905,Crise internacional envolvendo Reino Unido e Arábia Saudita,Guerra/Conflito,Guerra/Conflito,Médio,Synthetic_Historical_Dataset,27
1975-01-01,1975,Avanço tecnológico em Física,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,28
2012-01-01,2012,Batalha de Pequim (2012),Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,29
2017-01-01,2017,Movimento social em China,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,30
1987-01-01,1987,Novo telescópio: Evento_30,Avanço Espacial/Astronômico,Avanço Espacial/Astronômico,Alto,Synthetic_Historical_Dataset,31
2022-01-01,2022,Quebra da bolsa em Moscou,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,32
1982-01-01,1982,Batalha de Nova York (1982),Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,33
2005-01-01,2005,Mudança constitucional em Itália,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,34
2001-01-01,2001,Vacina desenvolvida para Cardiovasculares,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,35
1974-01-01,1974,Terremoto em Nova York,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,36
2010-01-01,2010,Crise internacional envolvendo Arábia Saudita e Índia,Guerra/Conflito,Guerra/Conflito,Médio,Synthetic_Historical_Dataset,37
1989-01-01,1989,Inflação alta em Ásia,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,38
1905-01-01,1905,Novo tratamento médico para Tuberculose,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,39
2002-01-01,2002,Guerra em América do Sul (2002),Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,40
1934-01-01,1934,Eclipse Cardíaca visível em América do Norte,Avanço Espacial/Astronômico,Avanço Espacial/Astronômico,Alto,Synthetic_Historical_Dataset,41
